 Vol  , Cur  ,  X1  ,  Y1  ,  Z1  ,  X2  ,  Y2  ,  Z2  ,  X3  ,  Y3  ,  Z3  ,  X4  ,  Y4  ,  Z4  
4.9612,0.6989,-0.1953,-0.6641,0.6641,-0.2344,-0.6641,0.5469,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0702,0.8553,-0.0781,-0.5859,0.7422,-0.1172,-0.5859,0.6641,0.1562,0.8594,-0.2734,0.2344,1.1328,-0.0781
4.9612,0.7331,-0.2344,-0.7422,0.5469,-0.2734,-0.7422,0.4688,0.0000,0.7031,-0.3906,0.0391,0.8203,-0.3516
5.0157,0.7038,-0.2344,-0.7031,0.5859,-0.1953,-0.6641,0.5078,0.0391,0.7813,-0.3125,0.1562,0.9375,-0.2734
5.0702,0.7185,-0.1562,-0.6250,0.6250,-0.1172,-0.6641,0.5469,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7087,-0.2344,-0.7422,0.5469,-0.1953,-0.7031,0.5078,0.0000,0.7422,-0.3906,0.0391,0.8984,-0.3125
5.0157,0.7038,-0.2344,-0.7422,0.5859,-0.1562,-0.6641,0.5078,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.6940,-0.2344,-0.7422,0.5859,-0.1562,-0.6641,0.5469,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.6886,1.0068,0.0781,-0.4297,0.9375,0.1172,-0.4297,0.7813,0.2734,1.0156,-0.1953,0.1953,1.0547,-0.1172
5.0157,0.7576,-0.2734,-0.7813,0.5469,-0.1953,-0.7031,0.4297,-0.0391,0.7031,-0.3906,0.0391,0.8203,-0.3516
5.1247,0.7722,-0.2734,-0.7422,0.5469,-0.1953,-0.7422,0.4297,-0.0391,0.7813,-0.3125,0.1562,0.9766,-0.1953
4.9612,0.7234,-0.2734,-0.7422,0.5469,-0.1562,-0.7422,0.4688,0.0000,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.6940,-0.2344,-0.7422,0.5859,-0.1172,-0.7031,0.4688,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7038,-0.2344,-0.7031,0.5859,-0.0781,-0.7031,0.5078,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7478,-0.1953,-0.7031,0.5859,-0.0781,-0.7422,0.4688,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,1.0704,0.0000,-0.5469,0.7422,0.0781,-0.6250,0.6250,0.1953,0.9375,-0.2344,0.1953,1.0156,-0.1562
4.9612,0.7087,-0.3125,-0.7813,0.4688,-0.1172,-0.7813,0.4297,0.0781,0.7813,-0.3516,0.0781,0.8594,-0.3125
5.0702,0.7283,-0.2344,-0.7813,0.5078,-0.0781,-0.7422,0.4688,0.0391,0.7422,-0.3516,0.0781,0.8984,-0.1562
4.9612,0.7087,-0.2734,-0.8203,0.4688,-0.0391,-0.7422,0.4688,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7038,-0.2734,-0.8203,0.5078,-0.0391,-0.7422,0.4688,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.6989,-0.2734,-0.8203,0.5078,-0.0391,-0.7422,0.4688,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.6989,-0.2734,-0.8203,0.5078,-0.0391,-0.7422,0.4688,0.0391,0.8203,-0.3125,0.1562,1.0156,-0.1953
5.0157,0.9091,-0.0781,-0.6250,0.7031,0.1562,-0.5469,0.7813,0.3125,0.9766,-0.2344,0.1172,0.8984,-0.3125
5.0702,0.7234,-0.3516,-0.8984,0.4297,-0.0781,-0.8203,0.3516,0.0000,0.7031,-0.3906,0.0000,0.8203,-0.3516
5.0157,0.7087,-0.3125,-0.8594,0.4688,-0.0391,-0.7813,0.3906,0.0391,0.7813,-0.3516,0.0781,0.8594,-0.3125
5.0157,0.6989,-0.2734,-0.8203,0.5078,0.0000,-0.7813,0.3906,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.7038,-0.3125,-0.8203,0.4688,0.0000,-0.8203,0.3906,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.1793,0.7771,-0.2734,-0.8203,0.5078,0.0391,-0.8203,0.3906,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.8309,-0.1953,-0.7031,0.5859,0.1562,-0.7031,0.5078,0.1562,0.8984,-0.2344,0.1953,1.0156,-0.1953
5.0702,0.7380,-0.4297,-0.9375,0.3516,-0.0391,-0.8984,0.2734,-0.0781,0.6641,-0.4297,0.0000,0.7813,-0.3516
5.0702,0.7185,-0.3516,-0.8984,0.3906,0.0781,-0.8203,0.3516,0.0391,0.7813,-0.3516,0.0781,0.8594,-0.3125
5.0157,0.7234,-0.3516,-0.8984,0.3906,0.0781,-0.8203,0.3516,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.6940,-0.3516,-0.8203,0.4688,0.1562,-0.7813,0.3906,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.6989,-0.3516,-0.8984,0.3906,0.1172,-0.7813,0.3906,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.6989,-0.3516,-0.9375,0.3906,0.1562,-0.7813,0.3906,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.8521,0.7625,-0.2734,-0.8203,0.5469,0.3125,-0.6641,0.5078,0.1953,0.8984,-0.2344,0.1953,1.0547,-0.1953
5.1793,0.8553,-0.3516,-0.8984,0.3516,0.1562,-0.7813,0.3125,0.0000,0.7031,-0.4297,0.0000,0.7813,-0.3906
5.0702,0.7967,-0.3906,-0.8984,0.3516,0.1562,-0.8594,0.2734,0.0000,0.7031,-0.3906,0.0391,0.8594,-0.3516
4.9612,0.7038,-0.4688,-0.9375,0.3516,0.1953,-0.8594,0.2734,0.0391,0.7422,-0.3906,0.0391,0.8984,-0.3125
5.0157,0.7038,-0.4688,-0.9375,0.3125,0.2344,-0.8594,0.2734,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7087,-0.5078,-0.9375,0.3125,0.2734,-0.8984,0.2734,0.0781,0.7813,-0.2734,0.1562,0.9766,-0.2734
5.0157,0.7136,-0.5078,-0.9766,0.2734,0.2734,-0.9375,0.2344,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.8260,-0.4688,-0.8984,0.3516,0.3906,-0.8594,0.3125,0.1953,1.0156,-0.1562,0.3125,1.1719,-0.1172
4.9612,0.7185,-0.6250,-1.0547,0.1953,0.2344,-1.0156,0.1172,0.0000,0.7813,-0.2734,0.1562,1.0547,-0.1562
4.9067,0.8358,-0.5469,-0.9375,0.3125,0.3516,-0.9375,0.1953,0.0000,0.7031,-0.3906,0.0391,0.8203,-0.3125
5.0702,0.7331,-0.5859,-1.0156,0.3516,0.3906,-0.9375,0.1953,0.0781,0.7813,-0.3516,0.0391,0.8984,-0.3125
4.9612,0.7087,-0.5469,-0.9766,0.2734,0.3906,-0.9375,0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.6989,-0.5469,-0.9766,0.2734,0.4297,-0.8984,0.1953,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.6989,-0.5469,-0.9766,0.2734,0.4297,-0.8984,0.2344,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.8553,-0.4688,-0.8594,0.3906,0.5469,-0.7813,0.3516,0.1953,1.0156,-0.1172,0.3516,1.2500,-0.0781
5.0702,0.7674,-0.6250,-0.9766,0.1953,0.3516,-0.9375,0.1172,0.0000,0.7031,-0.4297,0.0000,0.8203,-0.3516
5.0702,0.7087,-0.6250,-0.9375,0.2734,0.4297,-0.8984,0.1562,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7429,-0.6641,-0.9766,0.1953,0.3906,-0.9375,0.1172,0.0781,0.7813,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.6989,-0.7031,-0.9766,0.1953,0.4297,-0.8984,0.1172,0.0391,0.7422,-0.3906,0.0391,0.8984,-0.3125
5.0157,0.6989,-0.6641,-0.9766,0.1953,0.4688,-0.8984,0.1172,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7771,-0.6250,-0.9375,0.2344,0.5078,-0.8984,0.1172,0.0781,0.7813,-0.3516,0.0781,0.9375,-0.2734
5.0157,0.8700,-0.5859,-0.8984,0.3125,0.6250,-0.7813,0.3125,0.3125,1.0156,-0.1562,0.3516,1.1328,-0.1562
5.0157,0.7185,-0.7422,-1.0547,0.1172,0.3906,-0.9766,0.0000,-0.0391,0.7031,-0.3906,0.0000,0.8203,-0.3516
4.9612,0.7283,-0.6641,-0.9766,0.1953,0.5078,-0.9375,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7136,-0.6641,-0.9766,0.1953,0.5078,-0.9375,0.0391,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.7283,-0.7031,-0.9766,0.1562,0.4688,-0.9766,0.0000,0.0000,0.7813,-0.3516,0.0391,0.8594,-0.3125
5.0157,0.7380,-0.6641,-0.9766,0.1953,0.5078,-0.9375,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7038,-0.7031,-0.9766,0.1562,0.5078,-0.9375,0.0000,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.8407,-0.5859,-0.8984,0.2734,0.5859,-0.8203,0.1562,0.2344,0.9375,-0.2344,0.2734,1.1719,-0.0781
5.0702,0.7478,-0.7422,-1.0156,0.1562,0.4688,-0.9375,0.0000,0.0000,0.7031,-0.3906,0.0391,0.8594,-0.3516
5.0157,0.7087,-0.7422,-1.0156,0.1562,0.5078,-0.8984,0.0000,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7185,-0.7031,-0.9766,0.1953,0.5469,-0.8984,0.0000,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7380,-0.7031,-0.9766,0.1953,0.5469,-0.8984,0.0000,0.0391,0.7422,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7429,-0.6250,-0.8984,0.2734,0.6250,-0.8594,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7038,-0.7422,-0.9766,0.1953,0.5859,-0.8984,-0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9067,0.8993,-0.5469,-0.7813,0.5078,0.9375,-0.6641,0.2734,0.3125,0.9766,-0.1953,0.2734,1.0937,-0.1172
4.9612,0.7087,-0.8203,-1.0156,0.1172,0.5078,-0.9766,-0.1562,0.0000,0.7031,-0.4297,0.0391,0.8984,-0.3125
4.9067,0.7234,-0.7031,-0.9375,0.1953,0.6250,-0.8984,-0.1172,0.0391,0.7422,-0.3516,0.0781,0.8594,-0.3125
5.0157,0.7478,-0.7031,-0.9375,0.3125,0.7031,-0.8594,-0.0781,0.0781,0.7422,-0.3906,0.0781,0.8594,-0.3125
5.0157,0.6989,-0.7422,-0.9766,0.1562,0.6250,-0.8984,-0.1562,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.6989,-0.7422,-1.0156,0.1562,0.6641,-0.8984,-0.1562,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7234,-0.7422,-1.0156,0.1562,0.6641,-0.8984,-0.1562,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.8456,-0.6250,-0.8203,0.3906,0.8984,-0.7422,0.0000,0.1953,0.8984,-0.2344,0.2734,1.0937,-0.1562
5.1247,0.7478,-0.8203,-1.0547,0.1172,0.6250,-0.9375,-0.2344,0.0000,0.7813,-0.3125,0.0781,0.8984,-0.3125
5.0157,0.7136,-0.7422,-0.9766,0.1562,0.7422,-0.8984,-0.1953,0.0391,0.7813,-0.3516,0.0781,0.8594,-0.3125
5.0702,0.7087,-0.8203,-1.0156,0.1562,0.7422,-0.8984,-0.2344,0.0391,0.7422,-0.3516,0.0391,0.8594,-0.3125
4.9067,0.7087,-0.8203,-1.0156,0.1562,0.7422,-0.8984,-0.1953,0.0781,0.7813,-0.3516,0.0781,1.0547,-0.1953
5.0157,0.7087,-0.8203,-1.0156,0.1562,0.7422,-0.8984,-0.2344,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.7087,-0.8203,-1.0156,0.1562,0.7031,-0.8984,-0.2344,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.1247,0.9580,-0.6250,-0.8203,0.4297,1.0156,-0.7031,-0.0391,0.1953,0.8984,-0.2344,0.1562,1.0547,-0.1953
5.0702,0.7087,-0.8594,-1.0547,0.1172,0.6641,-0.9375,-0.1953,0.1172,0.7813,-0.3516,0.0391,0.8594,-0.3516
5.0702,0.7331,-0.7813,-1.0156,0.1562,0.8203,-0.8203,-0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7038,-0.8203,-1.0156,0.1172,0.7813,-0.8984,-0.2344,0.0391,0.7422,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7087,-0.8203,-1.0156,0.1172,0.7813,-0.8984,-0.2344,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.6989,-0.8203,-1.0156,0.1172,0.7813,-0.8984,-0.1953,0.0781,0.7813,-0.3516,0.0781,0.9375,-0.2734
5.0157,0.6989,-0.8203,-1.0156,0.1172,0.8203,-0.8594,-0.1562,0.1562,0.9375,-0.2344,0.2344,1.0547,-0.1562
5.1793,0.8847,-0.7813,-0.9766,0.1562,0.7813,-0.9375,-0.3125,-0.0391,0.6641,-0.4297,-0.0391,0.7813,-0.3906
5.0702,0.7185,-0.8203,-1.0547,0.1172,0.7813,-0.9375,-0.2734,0.0391,0.7813,-0.3516,0.0781,0.8594,-0.3125
4.9612,0.7038,-0.8594,-1.0547,0.1172,0.7813,-0.9375,-0.2734,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0702,0.7380,-0.8594,-1.0547,0.1172,0.7422,-0.9375,-0.2734,0.0000,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.6989,-0.8594,-1.0547,0.1562,0.7813,-0.8984,-0.2344,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9067,0.6647,-0.7422,-0.9766,0.2344,0.8594,-0.8594,-0.1953,0.0781,0.7813,-0.3125,0.0781,0.8984,-0.2734
4.9067,0.7820,-0.7422,-0.9375,0.3125,0.9766,-0.8203,-0.0781,0.1953,0.9375,-0.2344,0.1953,1.0156,-0.1953
4.9612,0.9189,-0.7422,-0.9375,0.2344,0.7813,-0.9375,-0.2734,-0.0391,0.6641,-0.4688,-0.0391,0.7813,-0.3906
4.9612,0.7087,-0.8594,-1.0547,0.1562,0.7813,-0.8984,-0.2344,0.0781,0.7813,-0.3516,0.0391,0.8594,-0.3125
4.9612,0.7038,-0.8203,-1.0156,0.1562,0.7813,-0.9375,-0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.7087,-0.7813,-1.0156,0.1953,0.7813,-0.9375,-0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.7038,-0.7813,-1.0156,0.1953,0.7813,-0.9375,-0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.6940,-0.7422,-1.0156,0.1953,0.8203,-0.9375,-0.1562,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.8553,-0.7031,-0.9375,0.3125,0.9375,-0.8203,0.0391,0.3125,1.0937,-0.0391,0.3906,1.1719,-0.1172
4.9612,0.7038,-0.8594,-1.0937,0.1172,0.7031,-0.9766,-0.2344,0.0000,0.7031,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.7087,-0.8203,-1.0547,0.1562,0.7422,-0.9375,-0.1562,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
4.9612,0.6989,-0.7813,-1.0156,0.1953,0.7813,-0.9375,-0.1172,0.0781,0.7813,-0.3125,0.0781,0.8984,-0.2734
5.0157,0.6989,-0.7813,-1.0156,0.1953,0.7813,-0.9375,-0.1172,0.0781,0.7813,-0.3516,0.0781,0.9375,-0.2734
4.9612,0.6989,-0.7813,-0.8984,0.2734,0.8203,-0.8984,-0.0781,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2344
5.0157,0.7038,-0.7813,-1.0156,0.1953,0.7422,-0.9375,-0.1172,0.0391,0.7813,-0.3516,0.0781,0.8594,-0.3125
4.9612,0.8602,-0.6641,-0.9375,0.3516,0.8594,-0.8203,0.0000,0.1562,0.8984,-0.1953,0.3125,1.2109,-0.0391
4.9612,0.7087,-0.8203,-1.0156,0.1953,0.6641,-0.9375,-0.1562,0.0000,0.7031,-0.3906,0.0391,0.9375,-0.2734
4.9612,0.7038,-0.7813,-1.0156,0.2344,0.7031,-0.9375,-0.1172,0.0391,0.7422,-0.3516,0.0391,0.8594,-0.3125
5.0157,0.7331,-0.7031,-0.9375,0.3125,0.7422,-0.8984,-0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7185,-0.7813,-0.9766,0.2344,0.7031,-0.8984,-0.0781,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
4.9612,0.7038,-0.7813,-0.9766,0.2734,0.7422,-0.8984,-0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.6989,-0.7422,-0.9766,0.3125,0.7422,-0.8594,-0.0391,0.0781,0.8203,-0.3125,0.1172,0.9375,-0.2734
4.9067,0.8456,-0.6641,-0.8984,0.3906,0.8203,-0.7813,0.0781,0.1562,0.9766,-0.1562,0.3125,1.0937,-0.0781
5.0702,0.7722,-0.7422,-0.9766,0.2734,0.6641,-0.8984,-0.0781,0.0000,0.7031,-0.3906,0.0000,0.8203,-0.3125
5.0702,0.7136,-0.7422,-0.9766,0.3125,0.7031,-0.8594,0.0000,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
4.9612,0.7087,-0.7031,-0.9766,0.3125,0.7031,-0.8984,-0.0391,0.0391,0.7422,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7038,-0.7031,-0.9766,0.3125,0.7031,-0.8594,0.0000,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2344
5.0157,0.7283,-0.6641,-0.9766,0.3516,0.7031,-0.8594,0.0000,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.7283,-0.7031,-0.9766,0.3125,0.6641,-0.8984,0.0000,0.0391,0.7813,-0.3125,0.1172,0.8984,-0.3125
4.9612,0.8407,-0.5078,-0.7813,0.6250,1.0156,-0.6641,0.2344,0.2344,0.9766,-0.1562,0.2734,1.1328,-0.1172
5.0702,0.7918,-0.7422,-1.0156,0.3125,0.5859,-0.8984,-0.0391,0.0000,0.7031,-0.4297,0.0000,0.8203,-0.3125
5.0702,0.7185,-0.7422,-0.9766,0.3125,0.7031,-0.8594,0.1562,0.1172,0.7813,-0.3516,0.0391,0.8594,-0.3125
5.0702,0.7283,-0.6641,-0.9766,0.3516,0.6641,-0.8594,0.0000,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7185,-0.6641,-0.9375,0.3906,0.6641,-0.8594,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.6989,-0.6641,-0.9375,0.3906,0.6641,-0.8594,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.6989,-0.6641,-0.9375,0.3906,0.6641,-0.8594,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9067,1.0117,-0.5078,-0.8203,0.5469,0.8203,-0.7031,0.2344,0.1953,0.9375,-0.2734,0.1172,0.8594,-0.3516
5.0157,0.7576,-0.6250,-0.9375,0.3906,0.6250,-0.8594,0.0391,0.0391,0.7422,-0.3516,0.0391,0.8594,-0.3125
4.9612,0.7038,-0.6641,-0.9766,0.3906,0.6250,-0.8594,0.0391,0.0781,0.7813,-0.3516,0.0781,0.8594,-0.3125
5.0157,0.7087,-0.6641,-0.9766,0.3906,0.6250,-0.8594,0.0781,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.7234,-0.6641,-0.9766,0.3516,0.5859,-0.8984,0.0391,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
4.9612,0.6989,-0.6250,-0.8594,0.4688,0.6641,-0.8203,0.1172,0.0781,0.8203,-0.3516,0.0781,0.8984,-0.2734
4.9067,0.7283,-0.5859,-0.9375,0.3906,0.5859,-0.8594,0.0781,0.0391,0.7422,-0.3516,0.0781,0.8984,-0.2734
4.9612,1.0117,-0.4297,-0.8203,0.5469,0.7031,-0.7813,0.1953,0.1953,0.9375,-0.1953,0.1953,1.0547,-0.1953
5.0702,0.7136,-0.7031,-1.0156,0.3125,0.5078,-0.9375,0.0391,0.0000,0.7031,-0.3906,0.0391,0.8203,-0.3516
5.0157,0.7185,-0.6250,-0.9766,0.3516,0.5469,-0.8984,0.1172,0.0391,0.7422,-0.3516,0.0391,0.8594,-0.3125
5.0702,0.7331,-0.6250,-0.9375,0.4688,0.6641,-0.7813,0.2734,0.1953,0.9375,-0.2344,0.1953,1.0156,-0.1953
4.9612,0.7038,-0.6641,-1.0156,0.3516,0.5078,-0.8984,0.1172,0.0000,0.7031,-0.3906,0.0000,0.8594,-0.3516
5.0157,0.7038,-0.6641,-0.9766,0.3516,0.5078,-0.8594,0.1562,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.8211,-0.5078,-0.8203,0.5469,0.7031,-0.7422,0.3125,0.1953,0.9375,-0.2344,0.3125,1.1719,-0.1172
5.1793,0.7820,-0.6641,-0.9766,0.3125,0.4297,-0.9375,0.1172,-0.0391,0.7031,-0.3906,0.0000,0.7813,-0.3516
5.0702,0.7087,-0.6641,-0.9766,0.3516,0.5078,-0.8594,0.1562,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.6989,-0.6641,-0.9375,0.3516,0.5469,-0.8594,0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.6989,-0.6641,-0.9375,0.3516,0.5078,-0.8594,0.1562,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.6989,-0.6250,-0.9375,0.4297,0.5859,-0.8594,0.1953,0.1172,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.6989,-0.6250,-0.9375,0.3906,0.5078,-0.8984,0.1953,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.8602,-0.5078,-0.8594,0.4688,0.5859,-0.8203,0.3906,0.2734,1.0547,-0.1172,0.2734,1.0547,-0.1953
5.0702,0.7674,-0.6641,-0.9375,0.3516,0.4297,-0.9375,0.1172,0.0000,0.6641,-0.4297,0.0000,0.7813,-0.3516
4.9612,0.7038,-0.6250,-0.9375,0.3906,0.4688,-0.8984,0.1953,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
4.9612,0.7576,-0.5859,-0.8984,0.4297,0.5078,-0.8594,0.2344,0.0391,0.7422,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.7038,-0.6250,-0.9375,0.3906,0.4688,-0.8594,0.2344,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7283,-0.6250,-0.9766,0.3906,0.4297,-0.8984,0.2344,0.0391,0.7422,-0.3906,0.0391,0.8594,-0.3125
5.0157,0.7038,-0.6250,-0.9375,0.3906,0.4688,-0.8594,0.2734,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0702,0.9091,-0.5078,-0.8594,0.5078,0.5078,-0.7813,0.4297,0.2344,0.9766,-0.1953,0.1953,1.0156,-0.2344
4.3615,0.8358,-0.5469,-0.9375,0.3906,0.3906,-0.8984,0.2344,0.0000,0.7031,-0.3906,0.0000,0.8203,-0.3516
5.0157,0.7038,-0.5859,-0.9375,0.3906,0.3906,-0.8594,0.2734,0.0391,0.7813,-0.3516,0.0781,0.8594,-0.3125
5.0157,0.7038,-0.5469,-0.8984,0.4297,0.3906,-0.8594,0.2734,0.0781,0.7813,-0.3516,0.0781,0.8594,-0.3125
4.9612,0.6989,-0.5469,-0.8984,0.4297,0.3906,-0.8594,0.2734,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7136,-0.5469,-0.8984,0.4297,0.3906,-0.8594,0.3125,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0702,0.7185,-0.5469,-0.8984,0.4297,0.3516,-0.8594,0.2734,0.0391,0.7422,-0.3516,0.0391,0.8594,-0.3125
5.0702,0.9677,-0.3125,-0.6641,0.7031,0.5859,-0.7031,0.4688,0.1953,0.9375,-0.2344,0.1953,1.0156,-0.1953
4.9612,0.7087,-0.5859,-0.9766,0.3906,0.2734,-0.8984,0.2344,0.0000,0.7031,-0.4297,0.0000,0.8203,-0.3516
5.0157,0.7038,-0.5078,-0.8984,0.4688,0.3516,-0.8594,0.3125,0.1562,0.8594,-0.3125,0.0781,0.8984,-0.3125
4.9612,0.7038,-0.5078,-0.8984,0.4688,0.3516,-0.8203,0.3125,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.2734
5.0157,0.7038,-0.5078,-0.8984,0.4688,0.3516,-0.8203,0.3516,0.0781,0.8203,-0.3125,0.1172,0.9375,-0.2734
5.0157,0.7038,-0.5078,-0.8984,0.4297,0.3125,-0.8203,0.3516,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
4.9612,0.7038,-0.5078,-0.8984,0.4297,0.3125,-0.7813,0.4297,0.1562,0.8984,-0.2344,0.1953,1.0547,-0.1562
5.1793,0.8065,-0.3516,-0.8594,0.5469,0.3125,-0.8594,0.3125,0.0000,0.6641,-0.4297,0.0000,0.7813,-0.3906
4.9612,0.7087,-0.5078,-0.8984,0.4297,0.2734,-0.8203,0.3516,0.0391,0.7813,-0.3516,0.0391,0.8594,-0.3125
5.0157,0.7038,-0.4688,-0.8594,0.4688,0.2734,-0.8203,0.3906,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7087,-0.4688,-0.8594,0.4688,0.2734,-0.7813,0.4297,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7087,-0.4688,-0.8594,0.4688,0.2344,-0.8203,0.3906,0.0391,0.7813,-0.3516,0.0781,0.8984,-0.3125
5.0157,0.7185,-0.4688,-0.8594,0.5078,0.3516,-0.7031,0.4688,0.0781,0.7813,-0.3516,0.0391,0.8984,-0.3125
4.9067,0.7820,-0.3516,-0.7422,0.6250,0.3516,-0.6641,0.5469,0.1953,0.9375,-0.2344,0.1953,1.0547,-0.1562
5.0702,0.8065,-0.3906,-0.7813,0.5078,0.1562,-0.8594,0.3125,-0.0391,0.6641,-0.4297,0.0000,0.8594,-0.2734
5.0702,0.7087,-0.4297,-0.8594,0.5078,0.1562,-0.8203,0.3906,0.0391,0.7422,-0.3516,0.0391,0.8594,-0.3516
4.9612,0.7038,-0.3906,-0.8203,0.5469,0.1953,-0.7813,0.4297,0.0781,0.8203,-0.3125,0.1172,0.8984,-0.2734
5.0702,0.7429,-0.3516,-0.8203,0.5469,0.1953,-0.7813,0.4297,0.0781,0.7813,-0.3516,0.0781,0.8984,-0.3125
